Palabras,N de repeticiones
I,2
Don'T,2
Want,1
To,6
Sound,1
Like,1
A,2
Killjoy,1
But,1
Becuase,2
This,1
Is,1
Not,1
My,2
Taste,1
Think,1
Anyone,1
Else,1
Should,1
Be,1
Allowed,1
Enjoy,1
It,2
Hello,1
Simpson,1
I'M,1
Riding,1
The,2
Bus,1
Today,1
Mother,1
Hid,1
Car,1
Keys,1
Punish,1
Me,1
For,1
Talking,1
Woman,1
On,1
Phone,1
She,1
Was,1
Right,1
Do,1
